date,anxiety,depression,insomnia,loneliness,stress
2004-01-01,,,,,
2004-02-01,,,,,
2004-03-01,,,,,
2004-04-01,,,,,
2004-05-01,,,,,
2004-06-01,,,,,
2004-07-01,,,,,
2004-08-01,,,,,
2004-09-01,,,,,
2004-10-01,,,,,
2004-11-01,,,,,
2004-12-01,1.9069251784911847,10.869752304055282,3.553700589355815,6.386538873903358,6.416715859709109
2005-01-01,1.6696942198734437,10.988630487917954,3.9109403658780755,6.564366617649345,6.716668546506992
2005-02-01,1.6764862244009222,10.482308327786768,4.10007390916384,6.374071530724134,6.612087187091302
2005-03-01,1.623688281771977,9.311120754075185,3.9571569224748844,5.534328132554839,5.986727744846019
2005-04-01,1.6966991126265951,9.028574168447168,4.199567077254944,4.700096710803848,5.592202363356256
2005-05-01,1.6213537179739266,9.028574168447168,4.199567077254944,3.942772444036637,5.515817475609798
2005-06-01,1.477097891751991,9.658957218326133,3.752776749732569,4.185110693297325,5.515817475609798
2005-07-01,1.585922922197517,10.09049958219026,3.7172815091383438,5.083395429327647,5.991787308601264
2005-08-01,1.585922922197517,11.16270847984756,3.6514837167011134,5.5976185412489,6.416715859709112
2005-09-01,1.4847711791873694,11.625468384177697,3.1861442452461586,5.770221360178022,6.3460796774644495
2005-10-01,1.4847711791873694,11.743470139149286,3.058767824804734,5.726070099804835,6.006940430313368
2005-11-01,1.435481125130546,11.57681852983484,2.65718009562885,4.870287154747361,5.754444922287152
2005-12-01,1.6213537179739268,11.642073646386146,2.7675062617979727,6.0727907817401405,5.989890473021013
2006-01-01,1.6696942198734428,11.652805618728857,2.220769727328398,6.254089571123563,6.200562046860729
2006-02-01,1.6213537179739268,11.317390747576642,2.065224325624598,6.5290725129062555,5.807518637703433
2006-03-01,1.6236882817719767,10.937840903778207,2.065224325624598,6.893123494842642,5.807518637703433
2006-04-01,1.4222261679238188,9.671498270065442,1.922750555056414,6.837397165588681,4.951277765905636
2006-05-01,1.4668044012461747,9.019759453891256,2.429303429280747,6.986458763966633,4.8076643355829605
2006-06-01,1.8809249819912504,10.055527652174025,3.4410622038709393,6.678776879493783,5.427204202399744
2006-07-01,2.0504988306618106,11.397434586410894,3.7284735685686683,5.936533015357055,6.244997998398396
2006-08-01,2.151461800448215,12.007573367746636,3.7618499639825047,5.484827557301451,6.653206107971665
2006-09-01,2.005673770264564,12.280496979381828,3.824759845897242,5.24187683251646,6.593729803932876
2006-10-01,1.9286515936521473,11.416362526362478,3.4673804626442837,5.376717484589551,6.431456783935994
2006-11-01,1.912875037500073,10.739335795724683,3.4761089357690365,5.851702678915286,5.142661732699288
2006-12-01,2.151461800448215,11.320402605539936,3.4989175815420763,5.2397085276325805,5.583389868551395
2007-01-01,1.8748737331221828,10.754491662049448,3.2601821849074457,5.797073451842816,5.760366149978498
2007-02-01,1.7056057308448818,10.15635343770171,2.745519766433816,5.728054299725717,5.384461369758739
2007-03-01,1.602554778527652,8.360712598308552,2.2696949467968497,4.882715339942455,4.386618771038138
2007-04-01,1.4459976109624402,6.45907864712121,2.137330535547044,4.427873147015496,4.34845845203686
2007-05-01,1.5275252316519448,5.1138552141721165,2.7010099121355577,3.069892901103027,4.055486369964716
2007-06-01,1.621353717973926,6.1274345810832385,3.045115313535311,3.1861442452462048,4.313474308032968
2007-07-01,2.0056737702645635,6.658328118479405,3.0993645487519847,3.423404295390385,4.608950449117905
2007-08-01,2.1532216876958197,7.716079236754826,3.117642854737688,3.6556307750697066,4.98786405977426
2007-09-01,2.02072594216369,7.723929758166567,3.118857599710625,3.485902343944184,4.914419106213371
2007-10-01,1.9227505550564004,6.863937380515391,4.420167280531222,2.657180095628915,4.541892543729734
2007-11-01,1.9128750375000738,6.863937380515391,4.454313537562111,2.449489742783267,4.2879323264673275
2007-12-01,2.1087839379532696,7.126561498217699,4.468746688915917,1.8809249819913723,4.355421560503282
2008-01-01,1.9286515936521489,6.907944482239059,5.104958967573204,2.1373305355471555,4.481443219916236
2008-02-01,2.000000000000001,6.4731379679036065,5.1492865054443735,2.0652243256246994,4.34497271323857
2008-03-01,2.000000000000001,5.961365513695569,5.149286505444374,1.8504708655482573,4.252450274057674
2008-04-01,1.9752253419585208,5.890413372333876,4.999242366841626,1.8809249819913876,4.32399927115738
2008-05-01,2.0375267241229396,5.743903223629754,4.658000611525264,1.928651593652286,4.581749037477293
2008-06-01,2.0943647333651416,6.244391422902978,4.515126093074663,2.249579085208299,4.458563432181686
2008-07-01,1.992409839791245,6.826863160050934,4.539389893593702,2.9949452365106013,4.122186827695234
2008-08-01,1.9286515936521493,7.216878364870323,4.660439568291494,3.2473765635440452,3.999999999999982
2008-09-01,1.6764862244009242,7.39573996953447,4.7505980484757755,3.2427074359479473,3.918680977836862
2008-10-01,1.5050420310248884,8.893306982833167,3.704010930018564,3.0883456393155537,3.7446932147676835
2008-11-01,1.4974726182552547,8.436931799049832,4.962739956796843,2.7080128015454346,3.4333480435106845
2008-12-01,1.378954368902451,8.31710541139419,5.900051360844764,2.516611478423708,3.545163158189151
2009-01-01,1.2880570286640702,8.291561975888504,8.003786982460626,2.570225788926184,3.651483716701089
2009-02-01,0.9962049198956229,8.773237542076306,8.999579114737779,2.4908925016038084,3.6711405213193067
2009-03-01,0.834847109936723,8.897990920665325,9.614934721409705,2.3354968324847047,3.553700589355798
2009-04-01,0.7537783614444097,8.86771467946301,9.802210635021757,2.4908925016038084,3.6514837167010894
2009-05-01,0.7929614610987608,8.91712686436341,9.496410805236813,2.7122058561365168,3.5280263174995685
2009-06-01,0.7929614610987608,9.163498074954623,8.425700222677317,2.6097137890210593,3.768891807222028
2009-07-01,0.7929614610987621,9.287903504836363,7.875450925040906,1.8340219092576113,4.231018216873454
2009-08-01,0.965307299163426,9.16349807495462,6.678776879493806,1.4668044012463581,4.231018216873454
2009-09-01,1.083624669450835,9.433579609163441,4.618802153517053,1.8647446815243172,4.187825066532587
2009-10-01,1.31137217055151,7.79811554547674,2.843120351538743,2.937479851639552,3.9312269655344676
2009-11-01,1.3568010505999404,7.726381410270246,2.6097137890210327,3.088345639315524,3.9312269655344676
2009-12-01,1.2673044646258524,7.819943423805255,2.4541245430352,3.143053909621703,3.9312269655344676
2010-01-01,1.3789543689024546,7.819943423805255,4.174235549683663,3.058767824804782,4.010403138505307
2010-02-01,1.311372170551514,6.726248898340301,4.209477042305544,3.186144245246199,3.8924947208076
2010-03-01,1.4974726182552605,5.982297116315657,4.252450274057745,4.273774855458779,3.8924947208076
2010-04-01,1.4433756729740732,5.60573299616047,4.252450274057745,4.287932326467358,3.352972448801829
2010-05-01,1.4142135623731045,5.57795987468861,4.407294229370542,4.45176165334375,2.605355789115699
2010-06-01,1.1146408580454386,5.457827295534241,4.638442789897486,4.097301403104098,2.6784776318353534
2010-07-01,1.073086739977334,5.333570070503388,4.679905463950699,3.6212755161180925,2.329000305762608
2010-08-01,1.0836246694508465,5.457827295534241,4.7641336774874565,3.4761089357690325,2.844452335847621
2010-09-01,1.1645001528813288,5.457827295534241,4.7641336774874565,3.43775825476164,2.843120351538645
2010-10-01,1.2309149097933405,5.449492609130644,4.7641336774874565,3.5887028128263623,2.843120351538645
2010-11-01,1.267304464625861,4.7863442113047725,4.7641336774874565,3.604500553811051,2.843120351538645
2010-12-01,1.083624669450848,4.974937185533078,4.805300104146415,3.5194266061907804,2.998737107921289
2011-01-01,1.1281521496355484,4.700096710803819,3.7769235516689994,3.2473765635439387,2.9387690682262755
2011-02-01,1.2673044646258622,4.323999271157371,3.729489363048427,3.7979260688225964,2.998737107921289
2011-03-01,1.4974726182552653,4.2310182168734425,3.7040109300186224,3.278719262150981,2.876234912646595
2011-04-01,1.5050420310248989,4.2310182168734425,3.7040109300186224,3.5537005893557945,2.876234912646595
2011-05-01,1.4974726182552651,4.144181755695832,3.895412997904442,3.5032452487268317,2.937479851639458
2011-06-01,1.2673044646258618,4.26045950004397,3.563280749108909,3.21455025366429,2.8709622502610745
2011-07-01,1.2792042981336766,4.640892025018309,3.4498572653829607,3.21455025366429,3.146667308679938
2011-08-01,1.3568010505999497,4.539389893593672,3.2039275140289867,2.9886147596868287,3.146667308679938
2011-09-01,1.4433756729740768,4.641708149534425,3.3427896171076736,2.810963384947392,3.1430539096216235
2011-10-01,1.505042031024898,4.6799054639506235,3.393398225253257,2.810963384947392,3.1430539096216235
2011-11-01,1.6422453217987043,4.6799054639506235,3.423404295390396,2.839120649180975,3.0488447886788923
2011-12-01,1.279204298133675,4.757768766592528,3.4465617474213803,2.76750626179791,2.96443566094437
2012-01-01,1.6764862244009324,4.851585182997258,2.329000305762723,2.5226248955475072,3.018879984967316
2012-02-01,2.124888588879791,4.923659639173285,2.229281716090947,2.3677121037111735,2.9063670960444066
2012-03-01,2.3143164446679805,4.795831523312693,2.3290003057627215,2.4293034292806976,2.712205856136386
2012-04-01,2.354878881270666,4.579268169663872,2.3290003057627215,2.067057636527611,2.712205856136386
2012-05-01,2.3094010767585114,4.579268169663872,2.6053557891158006,2.020725942163653,2.534608929251677
2012-06-01,2.00000000000001,5.116817192534623,2.8109633849475135,2.137330535547013,2.645751311064574
2012-07-01,1.9128750375000851,4.807664335582934,2.8109633849475135,2.137330535547013,2.77843426585854
2012-08-01,1.9306145983268572,4.89588571861075,2.7010099121356403,2.15146180044819,2.5390883594254072
2012-09-01,2.6227443411030222,4.81160213977786,2.778434265858632,2.0504988306617866,2.5702257889260456
2012-10-01,2.8643577734887633,4.81160213977786,2.778434265858632,1.783765170031666,2.667140109487364
2012-11-01,2.828427124746199,4.81160213977786,2.609713789021028,1.4974726182552283,2.667140109487364
2012-12-01,2.1105794120443573,4.737823307909386,2.6328346286500057,1.4847711791873477,2.9695423583747265
2013-01-01,2.146173479954651,4.489043901713913,3.205109557055375,1.3789543689024293,3.2227881773960196
2013-02-01,2.2495790852081887,4.327501903786114,3.205109557055375,1.2673044646258231,3.2227881773960196
2013-03-01,2.4058010698889536,4.327501903786114,3.171845844395104,1.3113721705514856,3.312053286059403
2013-04-01,2.504541329810174,4.327501903786114,3.1466673086800236,1.3113721705514856,3.5032452487268415
